Date,Open,High,Low,Close,Adj Close,Volume
12/12/2018,267.470001,269,265.369995,265.459991,244.204727,97976700
12/13/2018,266.519989,267.48999,264.119995,265.369995,244.122025,96662700
12/14/2018,262.959991,264.029999,259.850006,260.470001,239.614365,116961100
12/17/2018,259.399994,260.649994,253.529999,255.360001,234.913498,165492300
12/18/2018,257.200012,257.950012,253.279999,255.080002,234.65593,134515100
12/19/2018,255.169998,259.399994,249.350006,251.259995,231.1418,214992800
12/20/2018,249.860001,251.619995,244.649994,247.169998,227.379272,252053400
12/21/2018,246.740005,249.710007,239.979996,240.699997,222.720367,255345600
12/24/2018,239.039993,240.839996,234.270004,234.339996,216.835434,147311600
12/26/2018,235.970001,246.179993,233.759995,246.179993,227.791046,218485400
12/27/2018,242.570007,248.289993,238.960007,248.070007,229.539841,186267300
12/28/2018,249.580002,251.399994,246.449997,247.75,229.243729,153100200
12/31/2018,249.559998,250.190002,247.470001,249.919998,231.251648,144299400
1/2/2019,245.979996,251.210007,245.949997,250.179993,231.492203,126925200
1/3/2019,248.229996,248.570007,243.669998,244.210007,225.968216,144140700
1/4/2019,247.589996,253.110001,247.169998,252.389999,233.537155,142628800
1/7/2019,252.690002,255.949997,251.690002,254.380005,235.37854,103139100
1/8/2019,256.820007,257.309998,254,256.769989,237.589981,102512600
1/9/2019,257.559998,258.910004,256.190002,257.970001,238.700333,95006600
1/10/2019,256.26001,259.160004,255.5,258.880005,239.542358,96823900
1/11/2019,257.679993,259.01001,257.029999,258.980011,239.634903,73858100
1/14/2019,256.859985,258.299988,256.410004,257.399994,238.172913,70908200
1/15/2019,257.820007,260.700012,257.809998,260.350006,240.902573,85208300
1/16/2019,260.829987,261.970001,260.600006,260.980011,241.485504,77636700
1/17/2019,260.01001,263.920013,259.959991,262.959991,243.317581,96118400
1/18/2019,264.980011,266.980011,263,266.459991,246.556137,127900300
1/22/2019,264.820007,265.059998,261.059998,262.859985,243.225037,115531200
1/23/2019,264.01001,264.790009,260.660004,263.410004,243.733978,86030300
1/24/2019,263.209991,264.200012,262.079987,263.549988,243.863541,59204100
1/25/2019,265.609985,266.700012,263.660004,265.779999,245.926926,96883400
1/28/2019,263.390015,263.829987,261.790009,263.76001,244.0578,85613700
1/29/2019,263.920013,264.549988,262.480011,263.410004,243.733978,66136300
1/30/2019,265.100006,268.519989,264.25,267.579987,247.592514,92473700
1/31/2019,267.51001,270.470001,267.269989,269.929993,249.766983,104012100
2/1/2019,270.149994,271.200012,269.179993,270.059998,249.887253,85782500
2/4/2019,270.109985,272.029999,269.359985,271.959991,251.645294,60744800
2/5/2019,272.440002,273.440002,271.880005,273.100006,252.700073,79552800
2/6/2019,272.790009,273.339996,271.920013,272.73999,252.367035,58347800
2/7/2019,270.940002,271.549988,268.290009,270.140015,249.961273,95482000
2/8/2019,268.75,270.579987,267.829987,270.470001,250.266602,75788900
2/11/2019,271.200012,271.48999,270.029999,270.619995,250.405411,68021400
2/12/2019,272.420013,274.519989,272.339996,274.100006,253.625549,72270200
2/13/2019,275.029999,275.929993,274.559998,274.98999,254.448975,65277200
2/14/2019,273.779999,275.640015,272.869995,274.380005,253.884521,83234400
2/15/2019,276.359985,277.410004,276.130005,277.369995,256.651245,97088700
2/19/2019,276.480011,278.579987,276.470001,277.850006,257.095398,59120800
2/20/2019,277.809998,278.920013,277.25,278.410004,257.613525,76610800
2/21/2019,277.700012,278.100006,276.350006,277.420013,256.69751,64214700
2/22/2019,278.109985,279.359985,277.399994,279.140015,258.289063,78114600
2/25/2019,280.730011,281.309998,279.429993,279.519989,258.640656,69030700
2/26/2019,279.130005,280.299988,278.899994,279.320007,258.455597,56844100
2/27/2019,278.519989,279.589996,277.480011,279.200012,258.344513,56921600
2/28/2019,278.959991,279.450012,278.320007,278.679993,257.863312,69268300
3/1/2019,280.440002,280.880005,278.820007,280.420013,259.473389,78880500
3/4/2019,281.600006,281.869995,276.839996,279.399994,258.529602,106494600
3/5/2019,279.540009,279.76001,278.410004,279.019989,258.177917,59114600
3/6/2019,279.149994,279.160004,276.970001,277.329987,256.614075,75039800
3/7/2019,276.829987,276.98999,274.070007,275.01001,254.467514,94885100
3/8/2019,272.940002,274.649994,272.420013,274.459991,253.958557,85795800
3/11/2019,275.26001,278.619995,275.230011,278.440002,257.641357,65098900
3/12/2019,279.059998,280.070007,278.850006,279.48999,258.612854,79667500
3/13/2019,280.480011,282.380005,280.299988,281.339996,260.324646,80639200
3/14/2019,281.369995,281.839996,280.670013,281.160004,260.158173,67518400
3/15/2019,280.540009,282.209991,280.329987,281.309998,261.443481,81309000
3/18/2019,281.549988,282.660004,281.299988,282.329987,262.391418,62199800
3/19/2019,283.51001,284.359985,281.410004,282.399994,262.456482,90268100
3/20/2019,282.160004,283.5,280.320007,281.549988,261.666534,84609200
3/21/2019,280.640015,285.179993,280.589996,284.730011,264.621948,79550400
3/22/2019,283.220001,283.799988,279.179993,279.25,259.528961,122659300
3/25/2019,278.869995,280.190002,277.640015,279.040009,259.33374,85575200
3/26/2019,280.98999,282.179993,279.559998,281.119995,261.266846,68125900
3/27/2019,281.109985,281.76001,277.929993,279.649994,259.900696,72224700
3/28/2019,280.350006,281.209991,279.070007,280.709991,260.885834,56238500
3/29/2019,282.390015,282.839996,281.140015,282.480011,262.530823,82186800
4/1/2019,284.700012,286.160004,284.399994,285.829987,265.644165,77617900
4/2/2019,286.040009,286.230011,285.089996,285.970001,265.774414,40070400
4/3/2019,287.320007,287.76001,285.75,286.420013,266.192596,68243200
4/4/2019,286.779999,287.459991,286.01001,287.179993,266.898804,48997500
4/5/2019,287.920013,288.630005,287.600006,288.570007,268.190765,58621700
4/8/2019,288.100006,288.910004,287.369995,288.790009,268.395203,53566300
4/9/2019,287.720001,288.079987,286.700012,287.309998,267.019714,66142300
